t=2026-02-15T21:35:52+0530 lvl=info msg="no configuration paths supplied"
t=2026-02-15T21:35:52+0530 lvl=info msg="using configuration at default config path" path=/home/siddhartha/.config/ngrok/ngrok.yml
t=2026-02-15T21:35:52+0530 lvl=info msg="open config file" path=/home/siddhartha/.config/ngrok/ngrok.yml err=nil
t=2026-02-15T21:35:52+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-02-15T21:35:52+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-02-15T21:35:53+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-02-15T21:35:53+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-02-15T21:35:53+0530 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://7f76-2409-40f0-6414-828f-ae6b-2157-3b44-667a.ngrok-free.app
t=2026-02-15T21:35:53+0530 lvl=info msg="update available" obj=updater
t=2026-02-15T21:36:28+0530 lvl=info msg=start pg=/api/tunnels id=f59643d47e000076
t=2026-02-15T21:36:28+0530 lvl=info msg=end pg=/api/tunnels id=f59643d47e000076 status=200 dur=409.241µs
t=2026-02-15T21:37:01+0530 lvl=info msg="join connections" obj=join id=473fe8af80e3 l=127.0.0.1:3000 r=[2409:40f0:6414:828f:d0c2:54ff:feb4:9e6f]:42142
t=2026-02-15T21:37:22+0530 lvl=info msg="join connections" obj=join id=04507fa29b6f l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:37:22+0530 lvl=info msg="join connections" obj=join id=8b44dfaa03d1 l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:37:22+0530 lvl=info msg="join connections" obj=join id=e15de4a40826 l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:37:22+0530 lvl=info msg="join connections" obj=join id=8955852d5e52 l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:37:22+0530 lvl=info msg="join connections" obj=join id=ec21ba0f7123 l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:37:22+0530 lvl=info msg="join connections" obj=join id=c0cc7df9e1f5 l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:37:22+0530 lvl=info msg="join connections" obj=join id=0c22a3f2013e l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:37:22+0530 lvl=info msg="join connections" obj=join id=24762240da67 l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:37:22+0530 lvl=info msg="join connections" obj=join id=7e702ae6e599 l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:37:22+0530 lvl=info msg="join connections" obj=join id=186ddbdfdc61 l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:37:22+0530 lvl=info msg="join connections" obj=join id=c263f5678957 l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:37:22+0530 lvl=info msg="join connections" obj=join id=0af80aca70d8 l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:37:22+0530 lvl=info msg="join connections" obj=join id=a069b85e8019 l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:37:22+0530 lvl=info msg="join connections" obj=join id=1e8f0ab688f5 l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:37:22+0530 lvl=info msg="join connections" obj=join id=23270a2f955d l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:37:22+0530 lvl=info msg="join connections" obj=join id=c46fc4609f5d l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
